9555.5;569813,3867351.25#569834.25,3864579#565267.875,3864545.25#565248.062,3867317.5#569813,3867351.25#569813,3867351.25
9555.6;574377.938,3867387.25#574400.562,3864615.25#569834.25,3864579#569813,3867351.25#574377.938,3867387.25#574377.938,3867387.25
9556.5;578942.875,3867425.75#578966.938,3864653.5#574400.562,3864615.25#574377.938,3867387.25#578942.875,3867425.75#578942.875,3867425.75
9556.6;583507.875,3867466.5#583533.312,3864694.25#578966.938,3864653.5#578942.875,3867425.75#583507.875,3867466.5#583507.875,3867466.5
9557.5;588072.938,3867509.5#588099.688,3864737.25#583533.312,3864694.25#583507.875,3867466.5#588072.938,3867509.5#588072.938,3867509.5
9559.5;606365.5,3864931.75#601799,3864879.75#601786.866,3865967.05#601770.5,3867651.5#606333.191,3867703.726#606365.5,3864931.75#606365.5,3864931.75
9559.6;610898.379,3867758.207#610932.062,3864986.25#606365.5,3864931.75#606333.191,3867703.726#606335.25,3867703.75#610898.379,3867758.207#610898.379,3867758.207
9555.3;569791.75,3870123.5#569813,3867351.25#565248.062,3867317.5#565228.188,3870089.5#569791.75,3870123.5#569791.75,3870123.5
9555.4;574355.312,3870159.5#574377.938,3867387.25#569813,3867351.25#569791.75,3870123.5#574355.312,3870159.5#574355.312,3870159.5
9556.3;578918.875,3870198#578942.875,3867425.75#574377.938,3867387.25#574355.312,3870159.5#578918.875,3870198#578918.875,3870198
9556.4;583482.5,3870238.75#583507.875,3867466.5#578942.875,3867425.75#578918.875,3870198#583482.5,3870238.75#583482.5,3870238.75
9557.3;588046.125,3870281.75#588072.938,3867509.5#583507.875,3867466.5#583482.5,3870238.75#588046.125,3870281.75#588046.125,3870281.75
9555.1;569770.5,3872895.5#569791.75,3870123.5#565228.188,3870089.5#565208.312,3872861.75#569770.5,3872895.5#569770.5,3872895.5
9555.2;574332.625,3872931.75#574355.312,3870159.5#569791.75,3870123.5#569770.5,3872895.5#574332.625,3872931.75#574332.625,3872931.75
9556.1;578894.875,3872970.25#578918.875,3870198#574355.312,3870159.5#574332.625,3872931.75#578894.875,3872970.25#578894.875,3872970.25
9556.2;583457.062,3873010.75#583482.5,3870238.75#578918.875,3870198#578894.875,3872970.25#583457.062,3873010.75#583457.062,3873010.75
9557.1;588024.416,3872526.138#588046.125,3870281.75#583482.5,3870238.75#583457.062,3873010.75#588019.24,3873053.749#588019.25,3873052.75#588024.416,3872526.138#588024.416,3872526.138
9652.2;638214.25,3873681#638256.312,3870908.5#633693.75,3870840.5#633653,3873613#638214.25,3873681#638214.25,3873681
9653.1;642775.375,3873751.5#642818.875,3870979#638256.312,3870908.5#638214.25,3873681#638215.562,3873681#642775.375,3873751.5#642775.375,3873751.5
9545.7;569749.188,3875667.75#569770.5,3872895.5#565208.312,3872861.75#565188.438,3875634#569749.188,3875667.75#569749.188,3875667.75
9545.8;574310,3875704#574332.625,3872931.75#569770.5,3872895.5#569749.188,3875667.75#574310,3875704#574310,3875704
9546.7;578870.812,3875742.5#578894.875,3872970.25#574332.625,3872931.75#574310,3875704#578870.812,3875742.5#578870.812,3875742.5
9546.8;583431.625,3875783#583457.062,3873010.75#578894.875,3872970.25#578870.812,3875742.5#583431.625,3875783#583431.625,3875783
9547.7;588019.24,3873053.749#583457.062,3873010.75#583431.625,3875783#587992.433,3875825.999#587992.438,3875825.5#588019.24,3873053.749#588019.24,3873053.749
9642.8;638173.5,3876453.5#638215.562,3873681#638214.25,3873681#633653,3873613#633612.25,3876385.5#638173.5,3876453.5#638173.5,3876453.5
9643.7;642734.625,3876524#642778.125,3873751.5#642775.375,3873751.5#638215.562,3873681#638173.5,3876453.5#642734.625,3876524#642734.625,3876524
9643.8;647295.875,3876596.75#647340.75,3873824.25#642778.125,3873751.5#642734.625,3876524#647295.875,3876596.75#647295.875,3876596.75
9644.7;651857.25,3876671.75#651903.5,3873899.25#647340.75,3873824.25#647295.875,3876596.75#651857.25,3876671.75#651857.25,3876671.75
9644.8;656418.5,3876749#656466.125,3873976.5#651903.5,3873899.25#651857.25,3876671.75#656418.5,3876749#656418.5,3876749
9645.7;660979.875,3876828.5#661028.875,3874056#656466.125,3873976.5#656418.5,3876749#660979.875,3876828.5#660979.875,3876828.5
9645.8;665541.25,3876910.5#665591.75,3874138#661028.875,3874056#660979.875,3876828.5#665541.25,3876910.5#665541.25,3876910.5
9646.7;670102.75,3876994.75#670154.562,3874222#665591.75,3874138#665541.25,3876910.5#670102.75,3876994.75#670102.75,3876994.75
9646.8;674664.25,3877081#674717.5,3874308.5#670154.562,3874222#670102.75,3876994.75#674664.25,3877081#674664.25,3877081
9647.8;683787.312,3877260.75#683843.312,3874488.25#679280.375,3874397.25#679225.75,3877169.75#683787.312,3877260.75#683787.312,3877260.75
9545.5;569727.938,3878440#569749.188,3875667.75#565188.438,3875634#565168.5,3878406#569727.938,3878440#569727.938,3878440
9545.6;574287.312,3878476.25#574310,3875704#569749.188,3875667.75#569727.938,3878440#574287.312,3878476.25#574287.312,3878476.25
9546.5;578846.75,3878514.5#578870.812,3875742.5#574310,3875704#574287.312,3878476.25#578846.75,3878514.5#578846.75,3878514.5
9546.6;583406.188,3878555.25#583431.625,3875783#578870.812,3875742.5#578846.75,3878514.5#583406.188,3878555.25#583406.188,3878555.25
9547.5;587992.433,3875825.999#583431.625,3875783#583406.188,3878555.25#587965.563,3878598.249#587992.433,3875825.999#587992.433,3875825.999
9642.6;638131.312,3879226#638173.5,3876453.5#633612.25,3876385.5#633571.5,3879157.75#638131.312,3879226#638131.312,3879226
9643.5;642691.125,3879296.5#642734.625,3876524#638173.5,3876453.5#638131.312,3879226#642691.125,3879296.5#642691.125,3879296.5
9643.6;647251,3879369.25#647295.875,3876596.75#642734.625,3876524#642691.125,3879296.5#647251,3879369.25#647251,3879369.25
9644.5;651810.875,3879444.25#651857.25,3876671.75#647295.875,3876596.75#647251,3879369.25#651810.875,3879444.25#651810.875,3879444.25
9644.6;656370.812,3879521.5#656418.5,3876749#651857.25,3876671.75#651810.875,3879444.25#656370.812,3879521.5#656370.812,3879521.5
9645.5;660930.75,3879601.25#660979.875,3876828.5#656418.5,3876749#656370.812,3879521.5#660930.75,3879601.25#660930.75,3879601.25
9645.6;665490.75,3879683#665541.25,3876910.5#660979.875,3876828.5#660930.75,3879601.25#665490.75,3879683#665490.75,3879683
9646.5;670050.812,3879767.25#670102.75,3876994.75#665541.25,3876910.5#665490.75,3879683#670050.812,3879767.25#670050.812,3879767.25
9646.6;674611,3879853.75#674664.25,3877081#670102.75,3876994.75#670050.812,3879767.25#674611,3879853.75#674611,3879853.75
9647.5;679171.062,3879942.5#679225.75,3877169.75#674664.25,3877081#674611,3879853.75#679171.062,3879942.5#679171.062,3879942.5
9647.6;679171.062,3879942.5#679175.181,3879942.582#679175.188,3879942.25#683731.319,3880033.157#683787.312,3877260.75#679225.75,3877169.75#679171.062,3879942.5#679171.062,3879942.5
9545.3;569727.938,3878440#565168.5,3878406#565148.625,3881178.25#569706.625,3881212.25#569727.938,3878440#569727.938,3878440
9545.4;569706.625,3881212.25#574264.625,3881248.5#574287.312,3878476.25#569727.938,3878440#569706.625,3881212.25#569706.625,3881212.25
9546.3;574264.625,3881248.5#578822.625,3881286.75#578846.75,3878514.5#574287.312,3878476.25#574264.625,3881248.5#574264.625,3881248.5
9546.4;578822.625,3881286.75#583380.688,3881327.5#583406.188,3878555.25#578846.75,3878514.5#578822.625,3881286.75#578822.625,3881286.75
9547.3;583380.688,3881327.5#587938.75,3881370.75#587965.625,3878598.25#583406.188,3878555.25#583380.688,3881327.5#583380.688,3881327.5
9642.4;638089.125,3881998.5#638131.312,3879226#633571.5,3879157.75#633530.75,3881930.25#638089.125,3881998.5#638089.125,3881998.5
9643.3;642647.562,3882069#642691.125,3879296.5#638131.312,3879226#638089.125,3881998.5#642647.562,3882069#642647.562,3882069
